Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,13.510000,13.800000,13.300000,13.330000,12.621731,7554000
2012-01-09,13.740000,14.185000,13.375000,13.925000,13.185116,9797400
2012-01-16,14.290000,15.490000,14.200000,14.985000,14.188794,9989400
2012-01-23,14.985000,16.035000,14.890000,15.645000,14.813727,10355200
2012-01-30,15.345000,16.770000,15.140000,16.760000,15.869485,11978000
2012-02-06,16.600000,17.090000,16.375000,17.075001,16.167744,11224200
2012-02-13,17.245001,17.885000,17.049999,17.799999,16.854223,9213600
2012-02-20,17.809999,17.945000,17.025000,17.480000,16.551226,10700000
2012-02-27,17.120001,17.530001,16.620001,17.120001,16.210354,8132000
2012-03-05,17.000000,17.575001,16.395000,17.209999,16.295570,8404800
2012-03-12,17.115000,17.545000,16.834999,16.865000,15.968904,7034200
2012-03-19,16.469999,16.995001,16.305000,16.680000,15.793733,4928000
2012-03-26,16.684999,17.240000,16.325001,17.049999,16.144070,7570400
2012-04-02,16.980000,17.430000,16.825001,17.129999,16.219822,3597600
2012-04-09,16.850000,17.045000,16.500000,16.549999,15.670640,6660200
2012-04-16,16.795000,17.605000,16.500000,17.334999,16.413929,7848400
2012-04-23,16.975000,17.254999,16.530001,17.174999,16.262430,6957400
2012-04-30,17.100000,17.270000,16.070000,16.205000,15.343970,6815600
2012-05-07,16.264999,16.490000,15.505000,15.610000,14.780586,7592000
2012-05-14,15.260000,15.380000,14.330000,14.530000,13.757970,9546200
2012-05-21,14.595000,14.890000,13.925000,14.300000,13.540191,7087800
2012-05-28,14.500000,14.710000,13.650000,13.780000,13.047820,9295400
2012-06-04,13.925000,15.580000,13.910000,15.120000,14.316622,9374400
2012-06-11,15.220000,15.750000,14.875000,15.260000,14.449183,10121200
2012-06-18,14.925000,15.535000,14.775000,15.415000,14.595946,6021400
2012-06-25,15.100000,16.299999,15.080000,16.299999,15.433925,5956000
2012-07-02,16.334999,16.975000,16.230000,16.674999,15.916225,4116400
2012-07-09,16.825001,17.500000,16.355000,17.174999,16.393471,5779400
2012-07-16,16.975000,17.295000,16.725000,16.770000,16.006901,3985400
2012-07-23,16.315001,17.459999,15.970000,17.280001,16.493696,7533800
2012-07-30,17.190001,18.334999,16.895000,18.000000,17.180929,7794000
2012-08-06,18.030001,18.365000,17.420000,17.790001,16.980490,6648400
2012-08-13,17.850000,17.850000,17.389999,17.650000,16.846855,6044800
2012-08-20,17.650000,17.815001,17.004999,17.240000,16.455517,7601400
2012-08-27,17.379999,17.379999,16.790001,16.790001,16.025993,5339400
2012-09-03,16.805000,17.684999,16.680000,17.495001,16.698912,3790000
2012-09-10,17.155001,18.900000,17.150000,18.570000,17.724993,4512400
2012-09-17,18.540001,18.715000,17.820000,18.385000,17.548414,5521400
2012-09-24,18.695000,18.875000,18.115000,18.790001,17.934982,7310000
2012-10-01,18.875000,19.660000,18.770000,19.385000,18.502911,5780200
2012-10-08,19.135000,19.245001,18.605000,18.770000,17.915895,3768200
2012-10-15,18.940001,19.100000,18.309999,18.450001,17.610458,6560600
2012-10-22,18.740000,18.879999,18.045000,18.475000,17.634317,4619600
2012-10-29,18.450001,19.125000,18.334999,18.760000,17.906351,2179400
2012-11-05,18.725000,19.115000,18.510000,18.690001,17.839537,3706800
2012-11-12,18.764999,19.275000,18.434999,18.840000,17.982708,5340200
2012-11-19,19.059999,20.325001,19.045000,20.135000,19.218781,4807000
2012-11-26,20.330000,21.510000,20.075001,21.059999,20.101690,15992000
2012-12-03,21.160000,21.254999,20.684999,21.125000,20.163731,5094800
2012-12-10,21.055000,21.174999,20.555000,20.590000,19.653078,7677600
2012-12-17,20.195000,20.750000,20.190001,20.545000,19.610125,12719400
2012-12-24,20.420000,20.700001,20.270000,20.389999,19.462177,2848800
2012-12-31,20.365000,20.860001,20.205000,20.555000,19.619673,6932400
2013-01-07,20.440001,20.485001,19.955000,20.365000,19.438316,6674600
2013-01-14,20.549999,21.055000,19.674999,19.795000,18.894253,10967800
2013-01-21,19.665001,20.410000,19.615000,20.405001,19.476496,5683800
2013-01-28,20.410000,20.475000,19.934999,20.360001,19.433542,6001600
2013-02-04,20.235001,20.299999,18.985001,19.184999,18.312010,9889200
2013-02-11,19.205000,20.100000,19.025000,19.920000,19.013565,6549800
2013-02-18,20.025000,20.615000,19.295000,19.594999,18.703354,5287600
2013-02-25,19.645000,19.870001,18.799999,19.075001,18.207014,7931200
2013-03-04,18.975000,20.200001,18.665001,20.155001,19.237873,8760400
